Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,,
2020-01-02,72.53849792480469,75.0875015258789,75.1500015258789,73.79750061035156,74.05999755859375,135480400
2020-01-03,71.83331298828125,74.35749816894531,75.1449966430664,74.125,74.2874984741211,146322800
2020-01-06,72.40567779541016,74.94999694824219,74.98999786376953,73.1875,73.44750213623047,118387200
